"Pod","Phase","Reason","Node","Images"
"alarms-588489b7d5-d44wc","Running",,"ip-10-20-131-145.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-a4ab87d2bb4bdd28f6557c9f2b2c9cfca51a7cfa"
"bootstrap-6448fc6f5d-hfplz","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-826865e"
"bootstrap-65bbc5ff68-tghtg","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-826865e"
"certs-58464d846d-lpztt","Running",,"ip-10-20-161-42.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/certs@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"certs-58464d846d-wzj5q","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/certs@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"chirpstack-5d494697cc-v4lql","Running",,"ip-10-20-131-145.us-west-2.compute.internal","ghcr.io/chirpstack/chirpstack:4"
"cs-postgres-0","Running",,"ip-10-20-161-228.us-west-2.compute.internal","docker.io/library/postgres:15"
"cs-redis-789747764f-w8vgv","Running",,"ip-10-20-159-142.us-west-2.compute.internal","docker.io/library/redis:7.2"
"curl-2014186991","Pending","ImagePullBackOff","ip-10-20-161-42.us-west-2.compute.internal","curlimages/curl:8"
"domains-7dd7df878b-dqsbk","Running",,"ip-10-20-161-42.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/domains@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"domains-7dd7df878b-z72tf","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/domains@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"http-65c5fb87d-dkqkn","Running",,"ip-10-20-161-42.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/http-adapter@sha256:481e0789f954be2d4e3d27cbbfd81cd38c5c0fbdc4e965d72908fabe308bd8a0"
"lora-6f4b6c876d-jhwjp","Pending","InvalidImageName","ip-10-20-161-42.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/lora:<ci-tag>"
"lora-78cc6d4575-kvk9z","Pending","InvalidImageName","ip-10-20-161-228.us-west-2.compute.internal","gobee/lora:<tag>"
"lora-adapter-784f756c49-7kf4b","Pending","InvalidImageName","ip-10-20-161-228.us-west-2.compute.internal","gobee/lora-adapter:<tag>"
"lora-adapter-7df885bfb8-b4nk9","Running",,"ip-10-20-161-42.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala-lora-adapter:sbx-1"
"mosquitto-7556c779bb-kkzsc","Running",,"ip-10-20-159-142.us-west-2.compute.internal","eclipse-mosquitto:2.0"
"mqtt-adapter-5768848f6b-76l7x","Pending","InvalidImageName","ip-10-20-161-228.us-west-2.compute.internal","gobee/mqtt-adapter:<tag>"
"mqtt-adapter-66f5f6d97c-x8tms","Running",,"ip-10-20-131-145.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:mqtt-adapter-6ef9ab76ddc260750347cbeebe5614db703cfae9"
"nats-7b678b459c-62ppn","Running",,"ip-10-20-161-42.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/nats@sha256:820a97ef8a0e8e4b1f1c940c1fbf92e57ad548429dd20754de24ffe4f08996a3"
"nginx-74778b47bf-mps5g","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala@sha256:e688fed0b0c7513a63364959e7d389c37ac8ecac7a6c6a31455eca2f5a71ab8b"
"postgres-reader-868bf4f6d-bvt85","Running",,"ip-10-20-131-145.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala@sha256:9098f875d618ea1e85177bd409ee6c5b1ef7e211bac824afb0eaf5303cb8f459"
"postgres-writer-56b4cfb9d7-zzlj5","Running",,"ip-10-20-131-145.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgwriter-ce92372c901432a3b207577dbb8fe8a36a376585"
"postgres-writer-bf4b66f4f-fg6mg","Pending","InvalidImageName","ip-10-20-161-228.us-west-2.compute.internal","gobee/postgres-writer:<tag>"
"provision-749d885b49-2n29p","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala@sha256:8fdee43e9bad1028ba5a91438eb6292454b96f76cf27bdaac590cd2ce0c98f08"
"re-74cb4dbf4c-8sxcw","Running",,"ip-10-20-161-228.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:re-ca73523145c4c1afa6cbcb9994f3c1fc4c589841"
"redis-65467b55b6-xmgf6","Running",,"ip-10-20-161-228.us-west-2.compute.internal","redis:7"
"reports-55564766ff-fzb2w","Running",,"ip-10-20-161-228.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:reports-45075eec054539fa282129e171c954a264cc845d"
"things-748c8b9bdd-65vm9","Running",,"ip-10-20-131-145.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/things@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"things-748c8b9bdd-tcrvm","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/things@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"users-5577fcb44f-89fpr","Running",,"ip-10-20-159-142.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/users@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"users-5577fcb44f-hstkq","Running",,"ip-10-20-161-42.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/users@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"ws-585665cfd-7zzkz","Running",,"ip-10-20-131-145.us-west-2.compute.internal","595443389404.dkr.ecr.us-west-2.amazonaws.com/ws-adapter@sha256:c021866ee8461b7ed2aa5955cc970948ec63ef83bc5bbd52cbce63b069981fa6"
